"Subject","Chapter","Topic"
"Emerging and Advanced Topics","Geometric Deep Learning","EGNN"
"Emerging and Advanced Topics","Geometric Deep Learning","Steerable CNNs"
"Emerging and Advanced Topics","Geometric Deep Learning","Spherical CNNs"
"Emerging and Advanced Topics","Geometric Deep Learning","Clifford / geometric algebra networks"
"Emerging and Advanced Topics","Geometric Deep Learning","Manifold learning"
"Emerging and Advanced Topics","World Models and Model-Based AI","Dreamer v1/v2/v3"
"Emerging and Advanced Topics","World Models and Model-Based AI","PlaNet"
"Emerging and Advanced Topics","World Models and Model-Based AI","JEPA family (I-JEPA, V-JEPA, V-JEPA 2)"
"Emerging and Advanced Topics","World Models and Model-Based AI","Genie / Cosmos / video-based world models"
"Emerging and Advanced Topics","World Models and Model-Based AI","Neural simulators"
"Emerging and Advanced Topics","Continual and Lifelong Learning","Catastrophic forgetting"
"Emerging and Advanced Topics","Continual and Lifelong Learning","Elastic Weight Consolidation"
"Emerging and Advanced Topics","Continual and Lifelong Learning","Replay-based methods"
"Emerging and Advanced Topics","Continual and Lifelong Learning","Modular and task-conditional networks"
"Emerging and Advanced Topics","Continual and Lifelong Learning","Meta-continual learning"
"Emerging and Advanced Topics","Causal Inference and Causal ML","Structural causal models"
"Emerging and Advanced Topics","Causal Inference and Causal ML","Do-calculus"
"Emerging and Advanced Topics","Causal Inference and Causal ML","Counterfactuals"
"Emerging and Advanced Topics","Causal Inference and Causal ML","Potential outcomes framework"
"Emerging and Advanced Topics","Causal Inference and Causal ML","Causal discovery"
"Emerging and Advanced Topics","Causal Inference and Causal ML","Instrumental variables"
"Emerging and Advanced Topics","Causal Inference and Causal ML","Causal representation learning"
"Emerging and Advanced Topics","Neuro-Symbolic AI","Symbolic reasoning"
"Emerging and Advanced Topics","Neuro-Symbolic AI","Differentiable logic"
"Emerging and Advanced Topics","Neuro-Symbolic AI","Knowledge graphs and reasoning"
"Emerging and Advanced Topics","Neuro-Symbolic AI","Program induction and synthesis"
"Emerging and Advanced Topics","Neuro-Symbolic AI","Tool-augmented reasoning"
"Emerging and Advanced Topics","Quantum Machine Learning","Quantum computing basics"
"Emerging and Advanced Topics","Quantum Machine Learning","Variational quantum circuits"
"Emerging and Advanced Topics","Quantum Machine Learning","Quantum neural networks"
"Emerging and Advanced Topics","Quantum Machine Learning","Quantum advantage claims"
"Emerging and Advanced Topics","AI for Science","AlphaFold 1/2/3"
"Emerging and Advanced Topics","AI for Science","Protein language models (ESM 1/2/3)"
"Emerging and Advanced Topics","AI for Science","RoseTTAFold"
"Emerging and Advanced Topics","AI for Science","Materials (GNoME, MatterGen)"
"Emerging and Advanced Topics","AI for Science","Climate and weather (GraphCast, Pangu-Weather, Aurora)"
"Emerging and Advanced Topics","AI for Science","Drug discovery and molecular generation"
"Emerging and Advanced Topics","AI for Science","Mathematical reasoning (AlphaProof, AlphaGeometry)"
"Emerging and Advanced Topics","AI for Science","Physics-informed neural networks (PINNs)"
"Emerging and Advanced Topics","AI for Science","Neural operators (FNO, DeepONet)"
"Emerging and Advanced Topics","Frontier Architectures (2025-2026)","State Space Models (S4, S5, Mamba, Mamba-2)"
"Emerging and Advanced Topics","Frontier Architectures (2025-2026)","Hybrid attention/SSM models (Jamba, Hymba, Granite 4)"
"Emerging and Advanced Topics","Frontier Architectures (2025-2026)","Linear attention revivals (RWKV-7, Linear Transformers)"
"Emerging and Advanced Topics","Frontier Architectures (2025-2026)","Test-time training models"
"Emerging and Advanced Topics","Frontier Architectures (2025-2026)","Diffusion language models (Mercury, Gemini Diffusion)"
"Emerging and Advanced Topics","Frontier Architectures (2025-2026)","Block diffusion / DFlash"
"Emerging and Advanced Topics","Frontier Architectures (2025-2026)","Energy-based and EBT-style transformers"
"Emerging and Advanced Topics","Frontier Architectures (2025-2026)","Byte-level / tokenizer-free models (Byte Latent Transformer, MambaByte)"
"Emerging and Advanced Topics","Frontier Architectures (2025-2026)","Multi-token prediction"
"Emerging and Advanced Topics","Frontier Architectures (2025-2026)","Long reasoning models (o1, R1, QwQ)"
"Emerging and Advanced Topics","Frontier Training Paradigms","Self-play and self-improvement loops"
"Emerging and Advanced Topics","Frontier Training Paradigms","Synthetic data generation pipelines"
"Emerging and Advanced Topics","Frontier Training Paradigms","Curriculum and domain-randomized data"
"Emerging and Advanced Topics","Frontier Training Paradigms","Reasoning RL with verifiable rewards"
"Emerging and Advanced Topics","Frontier Training Paradigms","Process reward models"
"Emerging and Advanced Topics","Frontier Training Paradigms","Search-augmented training (MCTS + LLM)"
"Emerging and Advanced Topics","Open Research Frontiers","Mechanistic interpretability at scale"
"Emerging and Advanced Topics","Open Research Frontiers","Scalable oversight beyond human level"
"Emerging and Advanced Topics","Open Research Frontiers","Agent foundations"
"Emerging and Advanced Topics","Open Research Frontiers","Long-horizon autonomy"
"Emerging and Advanced Topics","Open Research Frontiers","Embodied general intelligence"
"Emerging and Advanced Topics","Open Research Frontiers","Compositional generalization"
"Emerging and Advanced Topics","Open Research Frontiers","True continual learning"
"Emerging and Advanced Topics","Open Research Frontiers","Energy-efficient AI"
"Capstone: Building a Multimodal LLM","Stage 0: Project Planning","Scope, modalities, target capabilities"
"Capstone: Building a Multimodal LLM","Stage 0: Project Planning","Compute and budget planning"
"Capstone: Building a Multimodal LLM","Stage 0: Project Planning","Hardware procurement / cloud selection"
"Capstone: Building a Multimodal LLM","Stage 1: Data","Text corpus collection and filtering"
"Capstone: Building a Multimodal LLM","Stage 1: Data","Image-text pair collection (LAION, DataComp, internal)"
"Capstone: Building a Multimodal LLM","Stage 1: Data","Video-text and audio-text data"
"Capstone: Building a Multimodal LLM","Stage 1: Data","Multilingual data"
"Capstone: Building a Multimodal LLM","Stage 1: Data","Synthetic data generation"
"Capstone: Building a Multimodal LLM","Stage 1: Data","Data deduplication, decontamination, licensing"
"Capstone: Building a Multimodal LLM","Stage 2: Tokenization and Encoders","Train BPE/SentencePiece tokenizer"
"Capstone: Building a Multimodal LLM","Stage 2: Tokenization and Encoders","Choose / train vision encoder (ViT, SigLIP)"
"Capstone: Building a Multimodal LLM","Stage 2: Tokenization and Encoders","Choose / train audio encoder (Whisper, wav2vec)"
"Capstone: Building a Multimodal LLM","Stage 2: Tokenization and Encoders","Choose / train video encoder"
"Capstone: Building a Multimodal LLM","Stage 2: Tokenization and Encoders","Discrete vs continuous modality tokens"
"Capstone: Building a Multimodal LLM","Stage 3: Architecture Design","Decide architecture family (dense Transformer, MoE, hybrid SSM)"
"Capstone: Building a Multimodal LLM","Stage 3: Architecture Design","Attention variant (MHA/GQA/MLA)"
"Capstone: Building a Multimodal LLM","Stage 3: Architecture Design","Positional encoding choice (RoPE/ALiBi)"
"Capstone: Building a Multimodal LLM","Stage 3: Architecture Design","Normalization choice (RMSNorm, pre-norm)"
"Capstone: Building a Multimodal LLM","Stage 3: Architecture Design","Activation choice (SwiGLU)"
"Capstone: Building a Multimodal LLM","Stage 3: Architecture Design","Multimodal connector / projector design (MLP, Q-Former, Perceiver Resampler)"
"Capstone: Building a Multimodal LLM","Stage 4: Pretraining","Distributed training stack (FSDP/DeepSpeed/Megatron)"
"Capstone: Building a Multimodal LLM","Stage 4: Pretraining","Mixed precision and FP8/BF16"
"Capstone: Building a Multimodal LLM","Stage 4: Pretraining","Learning rate and batch schedules"
"Capstone: Building a Multimodal LLM","Stage 4: Pretraining","Loss curves and divergence diagnostics"
"Capstone: Building a Multimodal LLM","Stage 4: Pretraining","Checkpointing and fault tolerance"
"Capstone: Building a Multimodal LLM","Stage 4: Pretraining","Scaling-law-driven hyperparameter selection"
"Capstone: Building a Multimodal LLM","Stage 5: Multimodal Alignment","Freeze LLM and train projector"
"Capstone: Building a Multimodal LLM","Stage 5: Multimodal Alignment","Image-text contrastive alignment"
"Capstone: Building a Multimodal LLM","Stage 5: Multimodal Alignment","Caption-style next-token training"
"Capstone: Building a Multimodal LLM","Stage 6: Multimodal Pretraining","Interleaved image-text-audio sequences"
"Capstone: Building a Multimodal LLM","Stage 6: Multimodal Pretraining","Long-context multimodal data"
"Capstone: Building a Multimodal LLM","Stage 7: Instruction and Preference Tuning","Multimodal SFT data"
"Capstone: Building a Multimodal LLM","Stage 7: Instruction and Preference Tuning","Multimodal DPO/ORPO/GRPO"
"Capstone: Building a Multimodal LLM","Stage 7: Instruction and Preference Tuning","Tool-use and agent fine-tuning"
"Capstone: Building a Multimodal LLM","Stage 7: Instruction and Preference Tuning","Reasoning fine-tuning"
"Capstone: Building a Multimodal LLM","Stage 8: Evaluation","Multimodal benchmarks (capstone evaluation)"
"Capstone: Building a Multimodal LLM","Stage 8: Evaluation","Human evaluation"
"Capstone: Building a Multimodal LLM","Stage 8: Evaluation","Red teaming"
"Capstone: Building a Multimodal LLM","Stage 8: Evaluation","Domain-specific evals"
"Capstone: Building a Multimodal LLM","Stage 9: Inference and Deployment","Quantization for deployment (FP8/INT4)"
"Capstone: Building a Multimodal LLM","Stage 9: Inference and Deployment","vLLM / TensorRT-LLM serving"
"Capstone: Building a Multimodal LLM","Stage 9: Inference and Deployment","Multimodal serving pipeline"
"Capstone: Building a Multimodal LLM","Stage 9: Inference and Deployment","Monitoring and feedback loops"
"Capstone: Building a Multimodal LLM","Stage 10: Iteration","Active learning data flywheel"
"Capstone: Building a Multimodal LLM","Stage 10: Iteration","Continued pretraining and alignment"
"Capstone: Building a Multimodal LLM","Stage 10: Iteration","Capability and safety evaluation"
